row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
11,fga_center_mid_range,"Field goal attempts from the center mid range zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
12,fga_left_corner_3,"Field goal attempts from the left corner 3 zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
13,fga_restricted_area,"Field goal attempts from the restricted area zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
14,fga_right_corner_3,"Field goal attempts from the right corner 3 zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
15,fgm_left_mid_range,"Field goal makes from the left mid range zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
16,fgm_center_mid_range,"Field goal makes from the center mid range zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
17,fgm_restricted_area,"Field goal makes from the restricted area zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
18,fgm_right_mid_range,"Field goal makes from the right mid range zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
19,fgm_above_the_break_3,"Field goal makes from the above the break 3 zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
20,fgm_paint_non_ra,"Field goal makes from the paint non ra zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
21,fgm_right_corner_3,"Field goal makes from the right corner 3 zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
22,fgm_left_corner_3,"Field goal makes from the left corner 3 zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
