row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
58,coordinate_x,"Shot/event x-coordinate, normalized to real court units - use this (not the _raw version) for zone/distance calculations.",NA,hoopR::load_nba_pbp(),numeric,context,safe
59,coordinate_y,"Shot/event y-coordinate, normalized to real court units - use this (not the _raw version) for zone/distance calculations.",NA,hoopR::load_nba_pbp(),numeric,context,safe
60,game_date,Calendar date the game was/will be played.,NA,hoopR API,Date,identifier,safe
61,game_date_time,Full game start timestamp.,NA,hoopR::load_nba_pbp(),POSIXct,metadata,safe (metadata only)
62,athlete_name_1,Name of the primary player involved in this play.,NA,hoopR::load_nba_pbp(),character,metadata,safe (metadata only)
63,athlete_name_2,"Name of a secondary player involved, if any.",NA,hoopR::load_nba_pbp(),character,metadata,safe (metadata only)
64,athlete_name_3,"Name of a third player involved, if any.",NA,hoopR::load_nba_pbp(),character,metadata,safe (metadata only)
65,type_abbreviation,Short code for type_text.,NA,hoopR::load_nba_pbp(),character,metadata,safe (metadata only)
66,game_id_nba,"NBA Stats API's canonical game identifier, bridged in from the schedule (not ESPN's native key).","Joined from schedule on (game_date, home team abbrev, away team abbrev) - a deterministic key, since a team plays a given opponent at most once per date. ~99.9% match rate; the rare miss is typically an All-Star/exhibition game with no NBA Stats regular-season/playoff counterpart.",schedule.game_id_nba (via date + team abbreviation match),character,identifier,safe
67,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
